ID Palet,Aula Actual,Fecha Creación,Edad (Días),Estado Actual,Lote Origen,Num. Bandejas,Kg por Bandeja,Total Kg Palet,Lote Padre,Nº Extracción,Estado Logístico
H-001,AULA_3,15/12/2025,64,Larva Grande,EMIX01,24,"0,1",,EMIX01,,Activo
H-002,AULA_3,15/01/2026,33,Larva Pequeña,EMIX01,24,"0,1",,EMIX01,,Activo
H-003,AULA_3,15/12/2025,64,Larva Grande,,8,"0,1",,,,Activo
H-004,AULA_3,15/12/2025,64,Larva Grande,EMIX04,26,"0,005769230769",,EMIX04,,Activo
H-005,AULA_3,01/01/2026,47,Larva Mediana,,26,,,,,Activo
H-006,AULA_3,01/01/2026,47,Larva Mediana,,24,,,,,
H-007,AULA_2,01/01/2026,47,Larva Mediana,,13,,,,,Activo
H-008,AULA_2,01/01/2026,47,Larva Mediana,,3,,,,,Activo
H-009,AULA_2,01/01/2026,47,Larva Mediana,,14,,,,,Activo
H-010,AULA_3,29/12/2025,50,Larva Mediana,EMIX06,23,"0,1",,EMIX06,,Activo
H-011,AULA_3,31/12/2025,48,Larva Mediana,EMIX08,26,"0,1",,EMIX08,,Activo
H-012,AULA_3,2/01/2026,46,Larva Mediana,EMIX01,24,"0,1",,EMIX01,,Activo
H-013,AULA_3,5/01/2026,43,Larva Mediana,EMIX02,24,"0,1",,EMIX02,,Activo
H-014,AULA_3,5/01/2026,43,Larva Mediana,EMIXP01,5,"0,15",,EMIXP01,,Activo
H-015,AULA_3,16/01/2026,32,Larva Pequeña,EMIX03,23,"0,1",,EMIX03,,Activo
H-016,AULA_3,16/01/2026,32,Larva Pequeña,EMIX04,26,"0,1",,EMIX04,,Activo
H-017,AULA_3,16/01/2026,32,Larva Pequeña,EMIX07,11,"0,15",,EMIX07,,Activo
H-018,AULA_3,16/01/2026,32,Larva Pequeña,EMIX05,12,"0,1",,EMIX05,,Activo
H-019,AULA_3,26/01/2026,22,Larva Pequeña,EMIX01,24,0,0,EMIX01,,Activo
H-020,AULA_3,26/01/2026,22,Larva Pequeña,EMIX02,24,0,0,EMIX02,,Activo
H-021,AULA_3,26/01/2026,22,Larva Pequeña,EMIX06,23,0,0,EMIX06,,Activo
H-022,AULA_3,26/01/2026,22,Larva Pequeña,EMIXP01,5,0,0,EMIXP01,,Activo
H-023,AULA_3,26/01/2026,22,Larva Pequeña,EMIX08,26,0,0,EMIX08,,Activo
EMIX09,AULA_3,29/10/2025,111,Escarabajo,"EMIX01,02,06,08,P01",22,"0,15",,"EMIX01,02,06,08,P01",,Activo
H-024,AULA_3,30/01/2026,18,Larva Pequeña,EMIX03,23,"0,1",,EMIX03,,Activo
H-025,AULA_3,28/01/2026,20,Larva Pequeña,EMIX07,11,"0,1","2,6",EMIX07,,Activo
H-026,AULA_3,28/01/2026,20,Larva Pequeña,EMIX05,12,"0,1","1,2",EMIX05,,Activo
H-027,AULA_3,28/01/2026,20,Larva Pequeña,EMIX04,26,"0,15","1,65",EMIX04,,Activo
EMIx10,AULA_2,05/11/2025,104,Escarabajo,"EMIX04,05,07,03",13,"0,15",,,,Activo
H-028,AULA_1,13/02/2026,4,Huevo,EMIX09,22,"0,15","3,3",EMIX09,1,Activo
